Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
4067,11/07/2020,22,26,27,29,32,38,30,42
4065,04/07/2020,17,31,33,35,39,42,36,41
4063,27/06/2020,15,19,24,28,35,41,23,30
4061,20/06/2020,9,11,17,19,22,29,14,21
4059,13/06/2020,3,17,29,32,34,38,12,28
4057,06/06/2020,3,10,18,19,22,27,41,42
4055,30/05/2020,3,15,19,22,25,44,1,42
4053,23/05/2020,1,21,25,30,32,45,31,38
4051,16/05/2020,4,11,16,17,19,26,15,25
4049,09/05/2020,7,21,22,35,38,39,34,44
4047,02/05/2020,10,14,16,18,31,43,4,35
4045,25/04/2020,3,15,17,23,34,38,18,31
4043,18/04/2020,23,24,29,39,40,41,5,37
4041,11/04/2020,5,10,11,14,26,27,35,37
4039,04/04/2020,11,19,22,33,36,39,7,18
4037,28/03/2020,3,7,10,16,37,43,20,23
4035,21/03/2020,10,19,26,27,31,33,9,43
4033,14/03/2020,8,13,27,40,41,42,3,4
4031,07/03/2020,3,7,28,33,34,40,1,38
4029,29/02/2020,3,12,29,30,31,38,22,45
4027,22/02/2020,8,11,15,16,23,29,7,25
4025,15/02/2020,3,4,11,21,24,39,34,40
4023,08/02/2020,17,19,24,36,38,44,2,39
4021,01/02/2020,1,10,17,24,29,33,5,26
4019,25/01/2020,10,17,19,24,36,38,22,40
4017,18/01/2020,3,10,12,24,34,35,38,40
4015,11/01/2020,11,17,18,20,37,41,15,36
4013,04/01/2020,11,16,33,38,40,42,12,45
4011,28/12/2019,1,13,19,31,37,39,5,33
4009,21/12/2019,18,23,28,30,35,37,4,33
4007,14/12/2019,1,9,31,34,39,40,17,37
4005,07/12/2019,1,13,16,25,30,32,17,22
4003,30/11/2019,10,16,20,22,30,38,14,42
4001,23/11/2019,7,14,25,30,37,45,6,34
3999,16/11/2019,11,22,28,31,32,34,14,21
3997,09/11/2019,1,10,25,27,28,36,14,18
3995,02/11/2019,1,2,10,12,21,42,13,40
3993,26/10/2019,2,7,28,29,31,45,6,38
3991,19/10/2019,18,21,26,39,41,43,33,35
