Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1622,2025-03-18,4,6,12,30,37,39,47,13,17,34,,3,4,3,4,2,1,1,2,1,0,0.00,5,60155.10,63,5642.25,574,476.35,3670,59.60,93137,29.05,248373,17.50
1621,2025-03-11,2,5,20,21,32,33,41,1,8,34,21,4,3,4,3,2,1,1,2,1,0,0.00,0,0.00,45,9896.55,456,406.95,2676,55.45,68392,26.85,182598,16.15
1620,2025-03-04,9,17,19,21,29,35,45,27,28,36,17,4,3,7,0,1,2,2,1,1,0,0.00,3,51118.00,45,4027.50,395,352.95,2355,47.35,57705,23.90,147374,15.05
1619,2025-02-25,8,11,12,17,18,30,46,24,37,42,17,5,2,2,5,1,4,1,0,1,1,15000000.00,6,47444.90,65,5175.80,638,405.65,4021,51.50,99629,25.70,246452,16.70
1618,2025-02-18,13,14,16,17,21,28,43,4,25,36,"13,16",5,2,4,3,0,4,2,0,1,0,0.00,8,37380.10,74,4775.85,588,462.35,3357,64.85,84354,31.95,214640,20.15
1617,2025-02-11,13,16,19,23,34,35,40,7,25,31,"34,35",4,3,4,3,0,3,1,3,0,0,0.00,4,39282.95,29,6403.50,400,357.10,2080,54.95,53779,26.30,144887,15.70
1616,2025-02-04,3,26,34,35,36,39,44,5,6,45,"3,34,36,44",1,6,3,4,1,0,1,4,1,1,100000000.00,26,59597.70,362,5058.75,3311,425.45,19572,57.60,514574,27.10,1343788,16.65
1615,2025-01-28,3,24,33,34,36,42,44,1,5,10,"24,44",1,6,2,5,1,0,1,3,2,0,0.00,21,46305.20,219,5247.55,2169,407.55,12543,56.40,324065,27.00,832826,16.90
1614,2025-01-21,8,18,22,24,37,41,44,1,26,39,,3,4,2,5,1,1,2,1,2,0,0.00,6,115756.90,189,4342.95,1614,391.20,9681,52.20,236334,26.45,608782,16.50
1613,2025-01-14,2,5,9,11,17,32,38,7,25,36,"2,11",5,2,4,3,3,2,0,2,0,0,0.00,8,56979.15,97,5553.75,1296,319.75,6670,49.70,169626,24.20,446405,14.75
1612,2025-01-07,2,6,11,19,27,29,46,15,38,42,,4,3,4,3,2,2,2,0,1,0,0.00,9,38530.35,83,4937.60,807,390.65,4932,51.15,126345,24.70,302873,16.55
1611,2024-12-31,4,7,12,15,24,38,47,8,43,46,47,4,3,3,4,2,2,1,1,1,0,0.00,7,44647.30,80,4616.95,650,437.10,4097,55.50,105427,26.70,260901,17.30
1610,2024-12-24,17,20,31,41,45,46,47,3,33,40,"31,41",2,5,5,2,0,2,0,1,4,0,0.00,4,61479.45,51,5698.65,467,478.70,2754,64.95,70666,31.30,186369,19.05
1609,2024-12-17,10,13,16,22,26,31,41,8,14,19,,4,3,3,4,1,2,2,1,1,0,0.00,3,50706.85,27,6658.50,376,367.80,2218,49.90,53518,25.60,144383,15.25
1608,2024-12-10,1,20,23,29,34,39,46,24,42,43,"23,39",3,4,4,3,1,1,2,2,1,1,50000000.00,10,62689.10,139,5330.00,1261,451.95,7436,61.30,197132,28.60,513500,17.65
1607,2024-12-03,18,22,23,26,27,39,44,10,37,41,22,3,4,3,4,0,1,4,1,1,0,0.00,7,71836.00,101,5883.95,1174,389.40,6522,56.05,173749,26.05,441250,16.45
1606,2024-11-26,2,4,12,17,19,22,32,11,27,31,2,6,1,2,5,2,3,1,1,0,0,0.00,8,40887.85,104,3717.10,1073,277.15,5769,41.25,130095,22.65,330551,14.30
1605,2024-11-19,2,8,9,10,18,34,40,3,32,37,"10,34",5,2,1,6,4,1,0,2,0,0,0.00,5,56559.05,80,4177.65,729,352.65,4209,48.85,104647,24.30,255672,16.00
1604,2024-11-12,5,10,14,16,28,30,34,9,19,23,16,4,3,1,6,2,2,2,1,0,0,0.00,4,61604.75,71,4101.70,720,311.15,3789,47.30,92693,23.95,245071,14.55
1603,2024-11-05,4,6,16,31,32,35,45,11,39,44,45,3,4,3,4,2,1,0,3,1,0,0.00,5,36906.60,32,6815.15,388,432.35,2270,59.10,59440,27.95,155512,17.15
1602,2024-10-29,3,10,22,27,33,39,45,1,12,23,,3,4,5,2,2,0,2,2,1,0,0.00,5,27863.00,38,4332.75,409,309.65,2218,45.70,50241,24.95,134120,15.00
